rank,key,name,affiliation,country,publications,senior_authorships,recent_publications,recency_ratio,trials_led,industry_trials,centrality_raw,focus,top_journals,active_years,region,citation_proxy,c_publications,c_seniority,c_recency,c_trials,c_citations,c_centrality,influence_score,tier,rising_star,whitespace
1,kumar_s,Shaji Kumar,"Division of Hematology, Mayo Clinic, Rochester, MN, USA.",USA,17,8,11,0.647,11,0,0.7289506858672262,"Tumor Microenvironment, Neoplasm, Residual, Risk Factors, Retrospective Studies, Prognosis, Plasmacytoma","American journal of hematology, Leukemia & lymphoma, Clinical lymphoma, myeloma & leukemia",2022-2026,North America,8,99.0,99.7,98.8,100.0,99.7,99.8,99.4,Tier 1,False,True
2,wang_y,Yan Wang,"Department of Hematology, Zhongshan Hospital, Fudan University, Shanghai, China.",China,42,7,25,0.595,3,0,0.7381827280244317,"Retrospective Studies, Cell Line, Tumor, Animals, Antineoplastic Agents, Cell Proliferation, Antibodies, Monoclonal","Frontiers in oncology, Zhongguo shi yan xue ye xue za zhi, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi",2021-2026,Asia-Pacific,7,100.0,99.5,100.0,97.4,99.5,99.9,99.3,Tier 1,False,True
3,liu_y,Yang Liu,"Pathology department, Hainan Hospital of Chinese PLA General Hospital, Sanya, China.",China,28,7,15,0.536,3,0,0.6486897510998937,"Retrospective Studies, Peripheral Nervous System Diseases, Prognosis, Risk Factors, B-Cell Maturation Antigen, Immunotherapy, Adoptive","Cancers, Frontiers in pharmacology, Bone marrow transplantation",2021-2026,Asia-Pacific,7,99.7,99.5,99.5,97.4,99.5,99.6,99.1,Tier 1,False,True
4,mateos_m,María-Victoria Mateos,"University Hospital of Salamanca/IBSAL/CIC/CIBERONC, Salamanca, Spain.",Spain,15,5,12,0.8,4,0,0.470206635393614,"Neoplasm Recurrence, Local, Prospective Studies, Hematopoietic Stem Cell Transplantation, Retrospective Studies, Transplantation, Autologous, Antineoplastic Agents","Clinical lymphoma, myeloma & leukemia, HemaSphere, The New England journal of medicine",2021-2026,Europe,5,98.5,99.0,99.2,98.7,99.0,99.1,98.9,Tier 1,True,True
5,liu_z,Zhaoyun Liu,"Department of Hematology, Tianjin Medical University General Hospital, Tianjin, China.",China,18,10,12,0.667,2,0,0.2622817052650012,"Animals, Mice, Cell Line, Tumor, Mice, SCID, Neoplasms, Immunotherapy","Frontiers in immunology, Frontiers in oncology, Frontiers in cardiovascular medicine",2021-2026,Asia-Pacific,10,99.2,99.8,99.2,95.2,99.8,96.3,98.3,Tier 1,False,True
6,wang_l,Lei Wang,"Nuclear Radiation Injury Protection and Treatment Department, Navy Medical Center of People Liberation Army (PLA), Naval Medical University, Shanghai, China.",China,16,5,11,0.688,2,0,0.2971236960531459,"Receptors, Chimeric Antigen, Immunotherapy, Adoptive, B-Cell Maturation Antigen, Tumor Microenvironment, Animals, Mice","Frontiers in oncology, Clinical and translational medicine, Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion",2021-2026,Asia-Pacific,5,98.8,99.0,98.8,95.2,99.0,97.4,98.0,Tier 1,False,True
7,li_x,Xin Li,"Institute of Opto-electronics, Harbin Institute of Technology, 2 Yikuang Street, 150080, Harbin, China; National Key Laboratory on Tunable Laser, Harbin Institute of Technology, 2 Yikuang Street, 150080, Harbin, China. Electronic address: lixiaohui@hit.edu.cn.",China,26,9,18,0.692,1,0,0.48100042501539253,"Cell Line, Tumor, Animals, Antibodies, Monoclonal, Mice, Retrospective Studies, Leukocytes, Mononuclear","Journal of translational medicine, Analytica chimica acta, Frontiers in immunology",2021-2026,Asia-Pacific,9,99.6,99.8,99.8,91.0,99.8,99.2,97.9,Tier 1,False,True
8,lee_h,Hans C Lee,"Department of Lymphoma and Myeloma, The University of Texas MD Anderson Cancer Center, Houston, Texas.",USA,15,3,11,0.733,5,0,0.8308605341246291,"Retrospective Studies, Transplantation, Autologous, Hematopoietic Stem Cell Transplantation, Dexamethasone, Antibodies, Monoclonal, Prospective Studies","Clinical lymphoma, myeloma & leukemia, Transplantation and cellular therapy, Cancer",2023-2026,North America,3,98.5,94.8,98.8,99.5,94.8,100.0,97.8,Tier 1,True,True
9,wang_x,Xiaoning Wang,"School of Pharmacy, Shandong Second Medical University, Weifang 261000, China.",China,29,6,16,0.552,1,0,0.557448890248219,"Cell Line, Tumor, Cell Proliferation, Bortezomib, Apoptosis, Drug Resistance, Neoplasm, Signal Transduction","Cells, Zhongguo shi yan xue ye xue za zhi, Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi",2021-2026,Asia-Pacific,6,99.8,99.4,99.6,91.0,99.4,99.5,97.8,Tier 1,False,True
10,chen_x,Xue Chen,"Department of Hematology, Harbin Medical University Cancer Hospital, 150 Haping Road, 150081, Harbin, China. Electronic address: chenxuecherry@163.com.",China,19,6,12,0.632,1,0,0.3168219797612897,"Cell Line, Tumor, Bortezomib, Retrospective Studies, Membrane Proteins, Apoptosis, Antibodies, Monoclonal","Frontiers in oncology, Cell metabolism, Analytica chimica acta",2021-2026,Asia-Pacific,6,99.3,99.4,99.2,91.0,99.4,97.5,97.5,Tier 1,False,True
