rank,key,name,affiliation,country,publications,senior_authorships,recent_publications,recency_ratio,trials_led,industry_trials,centrality_raw,focus,top_journals,active_years,region,citation_proxy,c_publications,c_seniority,c_recency,c_trials,c_citations,c_centrality,influence_score,tier,rising_star,whitespace
1,delacroix_m,Mei Delacroix,"Rotterdam Cancer Centre, Rotterdam, Netherlands",Netherlands,149,68,74,0.497,12,10,1.0,"Immunotherapy, Pomalidomide, Lenalidomide, Antibodies, Monoclonal, Carfilzomib, Receptors, Chimeric Antigen","The Lancet Oncology, Blood Cancer Journal, Journal of Clinical Oncology",2021-2026,Europe,68,93.3,95.6,97.8,96.7,95.6,88.9,94.9,Tier 1,False,False
2,brandt_t,Tomas Brandt,"Verona Translational Oncology, Verona, Italy",Italy,173,78,82,0.474,8,6,0.7051515009500762,"Immunotherapy, Carfilzomib, Antibodies, Monoclonal, Pomalidomide, Daratumumab, Bortezomib","Haematologica, Blood Cancer Journal, Leukemia",2021-2026,Europe,78,100.0,100.0,100.0,90.0,100.0,41.1,92.1,Tier 1,False,False
3,alvarez_o,Omar Alvarez,"Toronto Plasma Cell Program, Toronto, Canada",Canada,150,67,71,0.473,12,8,0.7494855528762175,"Carfilzomib, Pomalidomide, Daratumumab, Drug Resistance, Neoplasm, Antibodies, Monoclonal, Immunotherapy","Journal of Clinical Oncology, Blood Cancer Journal, The Lancet Oncology",2021-2026,North America,67,95.6,93.3,92.2,96.7,93.3,65.6,91.6,Tier 1,False,False
4,dubois_s,Samir Dubois,"Kyoto Hematologic Malignancy Center, Kyoto, Japan",Japan,152,64,72,0.474,8,7,0.7494855528762175,"Lenalidomide, Daratumumab, Bortezomib, Immunotherapy, Antibodies, Monoclonal, Pomalidomide","Blood Cancer Journal, Clinical Cancer Research, The Lancet Oncology",2021-2026,Asia-Pacific,64,97.8,88.9,95.6,90.0,88.9,65.6,90.0,Tier 1,False,False
5,moreau_s,Samir Moreau,"Heidelberg Myeloma Center, Heidelberg, Germany",Germany,146,69,71,0.486,13,9,0.4772727272727273,"Immunotherapy, Antibodies, Monoclonal, Bortezomib, Pomalidomide, Receptors, Chimeric Antigen, Lenalidomide","Haematologica, Clinical Cancer Research, Journal of Clinical Oncology",2021-2026,Europe,69,91.1,97.8,92.2,100.0,97.8,16.7,87.6,Tier 1,False,False
6,dubois_d,Daniel Dubois,"Karolinska Hematology Unit, Stockholm, Sweden",Sweden,140,64,66,0.471,9,5,0.4772727272727273,"Antibodies, Monoclonal, Pomalidomide, Immunotherapy, Stem Cell Transplantation, Daratumumab, Carfilzomib","The Lancet Oncology, Journal of Clinical Oncology, Leukemia",2021-2026,Europe,64,88.9,88.9,82.2,93.3,88.9,16.7,81.6,Tier 2,False,False
7,nakamura_n,Nadia Nakamura,"St. Aldwyn Hospital, London, UK",Unknown,133,62,67,0.504,2,0,1.0,"Immunotherapy, Daratumumab, Antibodies, Monoclonal, Pomalidomide, Lenalidomide, Drug Resistance, Neoplasm","Clinical Cancer Research, The Lancet Oncology, Journal of Clinical Oncology",2021-2026,Unknown,62,86.7,84.4,85.6,57.8,84.4,88.9,80.3,Tier 2,False,True
8,delacroix_d,Daniel Delacroix,"Barcelona Myeloma Group, Barcelona, Spain",Spain,122,60,67,0.549,5,0,0.7051515009500762,"Immunotherapy, Antibodies, Monoclonal, Pomalidomide, Daratumumab, Carfilzomib, Drug Resistance, Neoplasm","Journal of Clinical Oncology, Clinical Cancer Research, Blood Cancer Journal",2021-2026,Europe,60,82.2,80.0,85.6,83.3,80.0,41.1,78.2,Tier 2,False,True
9,larsen_a,Andre Larsen,"Rotterdam Cancer Centre, Rotterdam, Netherlands",Netherlands,128,58,61,0.477,6,0,0.7051515009500762,"Drug Resistance, Neoplasm, Receptors, Chimeric Antigen, Stem Cell Transplantation, Immunotherapy, Antibodies, Monoclonal, Pomalidomide","The Lancet Oncology, Journal of Clinical Oncology, Blood Cancer Journal",2021-2026,Europe,58,84.4,77.8,71.1,86.7,77.8,41.1,76.6,Tier 2,False,True
10,romano_v,Viktor Romano,"Toronto Plasma Cell Program, Toronto, Canada",Canada,116,64,55,0.474,4,0,0.7051515009500762,"Antibodies, Monoclonal, Lenalidomide, Carfilzomib, Immunotherapy, Daratumumab, Pomalidomide","Clinical Cancer Research, The Lancet Oncology, Blood Cancer Journal",2021-2026,North America,64,65.6,88.9,44.4,78.9,88.9,41.1,69.6,Tier 2,False,True
11,okonkwo_l,Lena Okonkwo,"Karolinska Hematology Unit, Stockholm, Sweden",Sweden,118,50,57,0.483,4,0,1.0,"Antibodies, Monoclonal, Drug Resistance, Neoplasm, Minimal Residual Disease, Immunotherapy, Lenalidomide, Carfilzomib","Journal of Clinical Oncology, Leukemia, Clinical Cancer Research",2021-2026,Europe,50,75.6,57.8,48.9,78.9,57.8,88.9,68.2,Tier 2,False,True
12,dubois_r,Rosa Dubois,"Karolinska Hematology Unit, Stockholm, Sweden",Sweden,114,54,58,0.509,2,0,0.7494855528762175,"Bortezomib, Antibodies, Monoclonal, Drug Resistance, Neoplasm, Daratumumab, Immunotherapy, Lenalidomide","Haematologica, Clinical Cancer Research, Blood Cancer Journal",2021-2026,Europe,54,62.2,74.4,55.6,57.8,74.4,65.6,64.3,Tier 2,False,True
13,okonkwo_c,Clara Okonkwo,"Université Lyon Hématologie, Lyon, France",France,117,51,53,0.453,3,0,0.7494855528762175,"Antibodies, Monoclonal, Immunotherapy, Minimal Residual Disease, Lenalidomide, Pomalidomide, Bispecific Antibodies","Blood Cancer Journal, The Lancet Oncology, Leukemia",2021-2026,Europe,51,70.0,65.6,37.8,72.2,65.6,65.6,63.8,Tier 2,False,True
14,petrov_d,Daniel Petrov,"Rotterdam Cancer Centre, Rotterdam, Netherlands",Netherlands,118,61,62,0.525,0,0,0.4772727272727273,"Antibodies, Monoclonal, Receptors, Chimeric Antigen, Pomalidomide, Drug Resistance, Neoplasm, Immunotherapy, Stem Cell Transplantation","Clinical Cancer Research, Blood Cancer Journal, The Lancet Oncology",2021-2026,Europe,61,75.6,82.2,76.7,12.2,82.2,16.7,59.2,Tier 2,False,True
15,petrov_p,Paul Petrov,"Toronto Plasma Cell Program, Toronto, Canada",Canada,110,44,70,0.636,5,1,0.7494855528762175,"Immunotherapy, Pomalidomide, Receptors, Chimeric Antigen, Drug Resistance, Neoplasm, Antibodies, Monoclonal, Bortezomib","Blood Cancer Journal, Haematologica, The Lancet Oncology",2021-2026,North America,44,48.9,33.3,88.9,83.3,33.3,65.6,58.8,Tier 3,False,False
16,dubois_a,Andre Dubois,"Northgate Cancer Institute, Boston, MA, USA",USA,116,47,62,0.534,1,1,1.0,"Antibodies, Monoclonal, Immunotherapy, Carfilzomib, Lenalidomide, Bortezomib, Daratumumab","The Lancet Oncology, Blood Cancer Journal, Leukemia",2021-2026,North America,47,65.6,43.3,76.7,35.6,43.3,88.9,56.9,Tier 3,False,False
17,sorensen_h,Helena Sorensen,"Barcelona Myeloma Group, Barcelona, Spain",Spain,113,53,56,0.496,1,0,0.7494855528762175,"Antibodies, Monoclonal, Carfilzomib, Immunotherapy, Receptors, Chimeric Antigen, Lenalidomide, Pomalidomide","The Lancet Oncology, Haematologica, Leukemia",2021-2026,Europe,53,60.0,70.0,46.7,35.6,70.0,65.6,56.7,Tier 3,False,False
18,vantfield_r,Rosa Vantfield,"Kyoto Hematologic Malignancy Center, Kyoto, Japan",Japan,118,51,58,0.492,1,0,0.4772727272727273,"Pomalidomide, Receptors, Chimeric Antigen, Antibodies, Monoclonal, Immunotherapy, Lenalidomide, Carfilzomib","Journal of Clinical Oncology, The Lancet Oncology, Blood Cancer Journal",2021-2026,Asia-Pacific,51,75.6,65.6,55.6,35.6,65.6,16.7,55.7,Tier 3,False,False
19,dubois_n,Niels Dubois,"Rotterdam Cancer Centre, Rotterdam, Netherlands",Netherlands,112,41,59,0.527,3,1,1.0,"Antibodies, Monoclonal, Immunotherapy, Carfilzomib, Pomalidomide, Receptors, Chimeric Antigen, Lenalidomide","Journal of Clinical Oncology, Clinical Cancer Research, Haematologica",2021-2026,Europe,41,56.7,25.6,63.3,72.2,25.6,88.9,54.7,Tier 3,False,False
20,esposito_o,Omar Esposito,"St. Aldwyn Hospital, London, UK",Unknown,111,44,64,0.577,2,0,0.7494855528762175,"Immunotherapy, Antibodies, Monoclonal, Pomalidomide, Receptors, Chimeric Antigen, Carfilzomib, Lenalidomide","The Lancet Oncology, Leukemia, Clinical Cancer Research",2021-2026,Unknown,44,53.3,33.3,80.0,57.8,33.3,65.6,53.4,Tier 3,False,False
21,dubois_c,Carlos Dubois,"Rotterdam Cancer Centre, Rotterdam, Netherlands",Netherlands,121,53,54,0.446,0,0,0.4772727272727273,"Immunotherapy, Pomalidomide, Carfilzomib, Daratumumab, Antibodies, Monoclonal, Lenalidomide","Blood Cancer Journal, Haematologica, Clinical Cancer Research",2021-2026,Europe,53,80.0,70.0,41.1,12.2,70.0,16.7,51.3,Tier 3,False,False
22,dubois_o,Omar Dubois,"Verona Translational Oncology, Verona, Italy",Italy,110,50,60,0.545,1,0,0.7051515009500762,"Antibodies, Monoclonal, Immunotherapy, Pomalidomide, Receptors, Chimeric Antigen, Daratumumab, Drug Resistance, Neoplasm","The Lancet Oncology, Blood Cancer Journal, Clinical Cancer Research",2021-2026,Europe,50,48.9,57.8,66.7,35.6,57.8,41.1,50.8,Tier 3,False,False
23,navarro_i,Ingrid Navarro,"Université Lyon Hématologie, Lyon, France",France,112,40,59,0.527,2,1,1.0,"Immunotherapy, Antibodies, Monoclonal, Pomalidomide, Receptors, Chimeric Antigen, Drug Resistance, Neoplasm, Lenalidomide","Blood Cancer Journal, The Lancet Oncology, New England Journal of Medicine",2021-2026,Europe,40,56.7,21.1,63.3,57.8,21.1,88.9,50.4,Tier 3,False,False
24,yilmaz_s,Samir Yilmaz,"Northgate Cancer Institute, Boston, MA, USA",USA,104,54,58,0.558,0,0,1.0,"Immunotherapy, Antibodies, Monoclonal, Pomalidomide, Receptors, Chimeric Antigen, Daratumumab, Carfilzomib","Haematologica, Blood Cancer Journal, Journal of Clinical Oncology",2021-2026,North America,54,33.3,74.4,55.6,12.2,74.4,88.9,50.3,Tier 3,False,False
25,brandt_s,Samir Brandt,"Verona Translational Oncology, Verona, Italy",Italy,99,50,58,0.586,2,0,0.7051515009500762,"Immunotherapy, Antibodies, Monoclonal, Carfilzomib, Receptors, Chimeric Antigen, Pomalidomide, Lenalidomide","Clinical Cancer Research, New England Journal of Medicine, The Lancet Oncology",2021-2026,Europe,50,25.6,57.8,55.6,57.8,57.8,41.1,47.7,Tier 3,False,False
26,ferreira_m,Mei Ferreira,"Barcelona Myeloma Group, Barcelona, Spain",Spain,95,49,54,0.568,2,0,1.0,"Immunotherapy, Antibodies, Monoclonal, Pomalidomide, Lenalidomide, Receptors, Chimeric Antigen, Carfilzomib","Journal of Clinical Oncology, The Lancet Oncology, Blood Cancer Journal",2021-2026,Europe,49,16.7,48.9,41.1,57.8,48.9,88.9,45.4,Tier 3,False,False
27,romano_l,Lena Romano,"Northgate Cancer Institute, Boston, MA, USA",USA,117,45,58,0.496,0,0,0.7051515009500762,"Receptors, Chimeric Antigen, Immunotherapy, Antibodies, Monoclonal, Bispecific Antibodies, Pomalidomide, Lenalidomide","The Lancet Oncology, Clinical Cancer Research, Journal of Clinical Oncology",2021-2026,North America,45,70.0,37.8,55.6,12.2,37.8,41.1,43.7,Tier 3,False,False
28,ferreira_p,Paul Ferreira,"Northgate Cancer Institute, Boston, MA, USA",USA,109,47,48,0.44,1,0,0.7494855528762175,"Daratumumab, Antibodies, Monoclonal, Immunotherapy, Lenalidomide, Drug Resistance, Neoplasm, Pomalidomide","Blood Cancer Journal, Haematologica, The Lancet Oncology",2021-2026,North America,47,42.2,43.3,23.3,35.6,43.3,65.6,40.7,Tier 3,False,False
29,costa_c,Clara Costa,"Kyoto Hematologic Malignancy Center, Kyoto, Japan",Japan,110,40,61,0.555,1,0,0.7051515009500762,"Immunotherapy, Antibodies, Monoclonal, Pomalidomide, Receptors, Chimeric Antigen, Carfilzomib, Daratumumab","Blood, Clinical Cancer Research, Blood Cancer Journal",2021-2026,Asia-Pacific,40,48.9,21.1,71.1,35.6,21.1,41.1,40.4,Tier 3,False,False
30,vantfield_c,Carlos Vantfield,"Verona Translational Oncology, Verona, Italy",Italy,109,49,51,0.468,0,0,0.7494855528762175,"Pomalidomide, Antibodies, Monoclonal, Immunotherapy, Receptors, Chimeric Antigen, Carfilzomib, Lenalidomide","Clinical Cancer Research, The Lancet Oncology, New England Journal of Medicine",2021-2026,Europe,49,42.2,48.9,34.4,12.2,48.9,65.6,39.4,Tier 3,False,False
31,kapoor_a,Aisha Kapoor,"Rotterdam Cancer Centre, Rotterdam, Netherlands",Netherlands,105,50,49,0.467,1,0,0.4772727272727273,"Antibodies, Monoclonal, Pomalidomide, Immunotherapy, Carfilzomib, Bortezomib, Receptors, Chimeric Antigen","Clinical Cancer Research, Blood Cancer Journal, Haematologica",2021-2026,Europe,50,35.6,57.8,27.8,35.6,57.8,16.7,39.2,Tier 3,False,False
32,petrov_m,Mei Petrov,"Rotterdam Cancer Centre, Rotterdam, Netherlands",Netherlands,98,44,50,0.51,3,2,0.4772727272727273,"Antibodies, Monoclonal, Immunotherapy, Minimal Residual Disease, Receptors, Chimeric Antigen, Pomalidomide, Carfilzomib","Clinical Cancer Research, Journal of Clinical Oncology, Blood Cancer Journal",2021-2026,Europe,44,22.2,33.3,31.1,72.2,33.3,16.7,36.3,Tier 3,False,False
33,alvarez_s,Samir Alvarez,"St. Aldwyn Hospital, London, UK",Unknown,102,49,47,0.461,1,0,0.4772727272727273,"Immunotherapy, Lenalidomide, Antibodies, Monoclonal, Pomalidomide, Drug Resistance, Neoplasm, Receptors, Chimeric Antigen","Clinical Cancer Research, Blood Cancer Journal, The Lancet Oncology",2021-2026,Unknown,49,28.9,48.9,20.0,35.6,48.9,16.7,33.7,Tier 3,False,False
34,vermeer_m,Mei Vermeer,"Verona Translational Oncology, Verona, Italy",Italy,89,41,43,0.483,2,0,1.0,"Immunotherapy, Antibodies, Monoclonal, Pomalidomide, Lenalidomide, Bortezomib, Receptors, Chimeric Antigen","Haematologica, Blood Cancer Journal, The Lancet Oncology",2021-2026,Europe,41,11.1,25.6,14.4,57.8,25.6,88.9,33.1,Tier 3,False,False
35,romano_o,Omar Romano,"Université Lyon Hématologie, Lyon, France",France,109,38,51,0.468,0,0,1.0,"Antibodies, Monoclonal, Receptors, Chimeric Antigen, Lenalidomide, Immunotherapy, Daratumumab, Carfilzomib","Blood Cancer Journal, The Lancet Oncology, Haematologica",2021-2026,Europe,38,42.2,15.6,34.4,12.2,15.6,88.9,31.7,Tier 3,False,False
36,vermeer_a,Aisha Vermeer,"Rotterdam Cancer Centre, Rotterdam, Netherlands",Netherlands,99,43,61,0.616,0,0,0.4772727272727273,"Immunotherapy, Pomalidomide, Antibodies, Monoclonal, Lenalidomide, Daratumumab, Bortezomib","Blood Cancer Journal, Clinical Cancer Research, New England Journal of Medicine",2021-2026,Europe,43,25.6,28.9,71.1,12.2,28.9,16.7,29.8,Tier 3,False,False
37,holmberg_h,Helena Holmberg,"Heidelberg Myeloma Center, Heidelberg, Germany",Germany,106,46,42,0.396,0,0,0.7051515009500762,"Antibodies, Monoclonal, Lenalidomide, Immunotherapy, Pomalidomide, Carfilzomib, Bortezomib","Blood Cancer Journal, Haematologica, Journal of Clinical Oncology",2021-2026,Europe,46,37.8,40.0,10.0,12.2,40.0,41.1,29.5,Tier 3,False,False
38,alvarez_l,Liam Alvarez,"Toronto Plasma Cell Program, Toronto, Canada",Canada,95,30,48,0.505,3,1,0.7051515009500762,"Immunotherapy, Antibodies, Monoclonal, Lenalidomide, Carfilzomib, Pomalidomide, Daratumumab","New England Journal of Medicine, The Lancet Oncology, Clinical Cancer Research",2021-2026,North America,30,16.7,6.7,23.3,72.2,6.7,41.1,28.2,Tier 3,False,False
39,haddad_l,Lena Haddad,"Kyoto Hematologic Malignancy Center, Kyoto, Japan",Japan,97,38,49,0.505,1,0,0.7494855528762175,"Receptors, Chimeric Antigen, Antibodies, Monoclonal, Pomalidomide, Immunotherapy, Daratumumab, Lenalidomide","The Lancet Oncology, New England Journal of Medicine, Haematologica",2021-2026,Asia-Pacific,38,20.0,15.6,27.8,35.6,15.6,65.6,27.5,Tier 3,False,False
40,haddad_a,Aisha Haddad,"Northgate Cancer Institute, Boston, MA, USA",USA,84,33,42,0.5,2,1,1.0,"Immunotherapy, Pomalidomide, Antibodies, Monoclonal, Drug Resistance, Neoplasm, Lenalidomide, Carfilzomib","Clinical Cancer Research, Blood Cancer Journal, Haematologica",2021-2026,North America,33,6.7,8.9,10.0,57.8,8.9,88.9,26.3,Tier 3,False,False
41,saarinen_t,Tomas Saarinen,"St. Aldwyn Hospital, London, UK",Unknown,94,50,40,0.426,0,0,0.4772727272727273,"Immunotherapy, Pomalidomide, Antibodies, Monoclonal, Lenalidomide, Carfilzomib, Receptors, Chimeric Antigen","New England Journal of Medicine, Journal of Clinical Oncology, The Lancet Oncology",2021-2026,Unknown,50,13.3,57.8,6.7,12.2,57.8,16.7,25.8,Tier 3,False,False
42,kapoor_v,Viktor Kapoor,"Toronto Plasma Cell Program, Toronto, Canada",Canada,103,34,43,0.417,1,0,0.7051515009500762,"Antibodies, Monoclonal, Immunotherapy, Carfilzomib, Pomalidomide, Receptors, Chimeric Antigen, Lenalidomide","Journal of Clinical Oncology, Blood, New England Journal of Medicine",2021-2026,North America,34,31.1,11.1,14.4,35.6,11.1,41.1,24.5,Tier 3,False,False
43,delacroix_p,Paul Delacroix,"Heidelberg Myeloma Center, Heidelberg, Germany",Germany,86,38,44,0.512,0,0,0.7051515009500762,"Antibodies, Monoclonal, Immunotherapy, Pomalidomide, Lenalidomide, Receptors, Chimeric Antigen, Stem Cell Transplantation","Clinical Cancer Research, Leukemia, New England Journal of Medicine",2021-2026,Europe,38,8.9,15.6,17.8,12.2,15.6,41.1,16.1,Tier 3,False,False
44,moreau_l,Liam Moreau,"Université Lyon Hématologie, Lyon, France",France,9,5,9,1.0,2,0,0.26136363636363635,"Antibodies, Monoclonal, Bispecific Antibodies","Haematologica, Blood Cancer Journal, New England Journal of Medicine",2024-2026,Europe,5,2.2,4.4,3.3,57.8,4.4,4.4,14.4,Tier 3,True,False
45,delacroix_r,Rosa Delacroix,"Northgate Cancer Institute, Boston, MA, USA",USA,10,2,9,0.9,1,0,0.23863636363636365,"Immunotherapy, Lenalidomide","Haematologica, The Lancet Oncology, Clinical Cancer Research",2021-2026,North America,2,4.4,2.2,3.3,35.6,2.2,2.2,9.6,Tier 3,True,False
